,timestamp_leitura,left_data_Ac_X,left_data_Ac_Y,left_data_Ac_Z,left_data_Gy_X,left_data_Gy_Y,left_data_Gy_Z
14,1683959046.8561409,1.393425345,-0.088585466,9.277531624,-0.104986221,0.022382848,-0.012790199
0,1683959046.8901224,1.41257906,-0.08379706,9.25358963,-0.104986221,0.021849923,-0.012790199
1,1683959046.8901224,1.41018486,-0.08379706,9.251194954,-0.104986221,0.021849923,-0.012790199
2,1683959046.8901224,1.41018486,-0.08379706,9.248801231,-0.104986221,0.02158346,-0.012790199
3,1683959046.8901224,1.407790542,-0.081402861,9.255983353,-0.104986221,0.02158346,-0.012790199
4,1683959046.8901224,1.403002143,-0.081402861,9.258378029,-0.104986221,0.021849923,-0.012790199
5,1683959046.8901224,1.403002143,-0.086191259,9.258378029,-0.104986221,0.022116385,-0.012790199
6,1683959046.8901224,1.403002143,-0.08379706,9.258378029,-0.104986221,0.022116385,-0.012790199
7,1683959046.8901224,1.405396342,-0.086191259,9.263166428,-0.104986221,0.022382848,-0.012790199
8,1683959046.8901224,1.405396342,-0.086191259,9.26556015,-0.104986221,0.022382848,-0.012790199
9,1683959046.8901224,1.405396342,-0.090979666,9.267954826,-0.104986221,0.022116385,-0.013056661
10,1683959046.8901224,1.405396342,-0.088585466,9.26556015,-0.104986221,0.021849923,-0.012790199
11,1683959046.8901224,1.405396342,-0.088585466,9.26556015,-0.105252676,0.022116385,-0.012790199
12,1683959046.8901224,1.405396342,-0.086191259,9.272743225,-0.105252676,0.022116385,-0.012790199
13,1683959046.8901224,1.405396342,-0.086191259,9.267954826,-0.105252676,0.022116385,-0.012790199
14,1683959046.8901224,1.405396342,-0.086191259,9.270348549,-0.105252676,0.022116385,-0.012790199
0,1683959046.9221056,1.405396342,-0.081402861,9.275136948,-0.104453288,0.022116385,-0.012790199
1,1683959046.9221056,1.407790542,-0.081402861,9.275136948,-0.104719758,0.022116385,-0.012790199
2,1683959046.9221056,1.407790542,-0.08379706,9.277531624,-0.104719758,0.022116385,-0.012790199
3,1683959046.9221056,1.407790542,-0.08379706,9.277531624,-0.104986221,0.022382848,-0.013056661
4,1683959046.9221056,1.41018486,-0.08379706,9.277531624,-0.104986221,0.022382848,-0.013056661
5,1683959046.9221056,1.41018486,-0.08379706,9.275136948,-0.104986221,0.022382848,-0.013056661
6,1683959046.9221056,1.41257906,-0.081402861,9.272743225,-0.104986221,0.022382848,-0.013056661
7,1683959046.9221056,1.414973259,-0.074220255,9.26556015,-0.104986221,0.022649311,-0.012257273
8,1683959046.9221056,1.414973259,-0.074220255,9.26556015,-0.104986221,0.022649311,-0.012523737
9,1683959046.9221056,1.417367458,-0.076614454,9.263166428,-0.104986221,0.022649311,-0.012523737
10,1683959046.9221056,1.414973259,-0.079008654,9.267954826,-0.104986221,0.022649311,-0.012523737
11,1683959046.9221056,1.414973259,-0.081402861,9.26556015,-0.104986221,0.022649311,-0.012790199
12,1683959046.9221056,1.414973259,-0.081402861,9.26556015,-0.104986221,0.022649311,-0.012523737
13,1683959046.9221056,1.414973259,-0.081402861,9.270348549,-0.104986221,0.022915773,-0.012790199
14,1683959046.9221056,1.414973259,-0.081402861,9.267954826,-0.104986221,0.022915773,-0.012790199
0,1683959046.9570851,1.417367458,-0.081402861,9.267954826,-0.104986221,0.023182238,-0.012523737
1,1683959046.9570851,1.417367458,-0.081402861,9.267954826,-0.104986221,0.023182238,-0.012790199
2,1683959046.9570851,1.414973259,-0.081402861,9.267954826,-0.104986221,0.023448698,-0.012790199
3,1683959046.9570851,1.41257906,-0.081402861,9.26556015,-0.104986221,0.023448698,-0.012790199
4,1683959046.9570851,1.414973259,-0.081402861,9.267954826,-0.104986221,0.023182238,-0.012790199
5,1683959046.9570851,1.41257906,-0.081402861,9.26556015,-0.104986221,0.023182238,-0.012790199
6,1683959046.9570851,1.41018486,-0.081402861,9.26556015,-0.104986221,0.022649311,-0.012790199
7,1683959046.9570851,1.405396342,-0.08379706,9.258378029,-0.105252676,0.022116385,-0.012790199
